"id"	"cityid"	"countyname"	"weatherid"
"1"	"1"	"北京"	"CN101010100"
"2"	"1"	"海淀"	"CN101010200"
"3"	"1"	"朝阳"	"CN101010300"
"4"	"1"	"顺义"	"CN101010400"
"5"	"1"	"怀柔"	"CN101010500"
"6"	"1"	"通州"	"CN101010600"
"7"	"1"	"昌平"	"CN101010700"
"8"	"1"	"延庆"	"CN101010800"
"9"	"1"	"丰台"	"CN101010900"
"10"	"1"	"石景山"	"CN101011000"
"11"	"1"	"大兴"	"CN101011100"
"12"	"1"	"房山"	"CN101011200"
"13"	"1"	"密云"	"CN101011300"
"14"	"1"	"门头沟"	"CN101011400"
"15"	"1"	"平谷"	"CN101011500"
"16"	"2"	"上海"	"CN101020100"
"17"	"2"	"闵行"	"CN101020200"
"18"	"2"	"宝山"	"CN101020300"
"19"	"2"	"嘉定"	"CN101020500"
"20"	"2"	"浦东新区"	"CN101020600"
"21"	"2"	"金山"	"CN101020700"
"22"	"2"	"青浦"	"CN101020800"
"23"	"2"	"松江"	"CN101020900"
"24"	"2"	"奉贤"	"CN101021000"
"25"	"2"	"崇明"	"CN101021100"
"26"	"2"	"徐汇"	"CN101021200"
"27"	"3"	"天津"	"CN101030100"
"28"	"3"	"武清"	"CN101030200"
"29"	"3"	"宝坻"	"CN101030300"
"30"	"3"	"东丽"	"CN101030400"
"31"	"3"	"西青"	"CN101030500"
"32"	"3"	"北辰"	"CN101030600"
"33"	"3"	"宁河"	"CN101030700"
"34"	"3"	"汉沽"	"CN101030800"
"35"	"3"	"静海"	"CN101030900"
"36"	"3"	"津南"	"CN101031000"
"37"	"3"	"塘沽"	"CN101031100"
"38"	"3"	"大港"	"CN101031200"
"39"	"3"	"蓟县"	"CN101031400"
"40"	"4"	"重庆"	"CN101040100"
"41"	"4"	"永川"	"CN101040200"
"42"	"4"	"合川"	"CN101040300"
"43"	"4"	"南川"	"CN101040400"
"44"	"4"	"江津"	"CN101040500"
"45"	"4"	"万盛"	"CN101040600"
"46"	"4"	"渝北"	"CN101040700"
"47"	"4"	"北碚"	"CN101040800"
"48"	"4"	"巴南"	"CN101040900"
"49"	"4"	"长寿"	"CN101041000"
"50"	"4"	"黔江"	"CN101041100"
"51"	"4"	"万州"	"CN101041300"
"52"	"4"	"涪陵"	"CN101041400"
"53"	"4"	"开县"	"CN101041500"
"54"	"4"	"城口"	"CN101041600"
"55"	"4"	"云阳"	"CN101041700"
"56"	"4"	"巫溪"	"CN101041800"
"57"	"4"	"奉节"	"CN101041900"
"58"	"4"	"巫山"	"CN101042000"
"59"	"4"	"潼南"	"CN101042100"
"60"	"4"	"垫江"	"CN101042200"
"61"	"4"	"梁平"	"CN101042300"
"62"	"4"	"忠县"	"CN101042400"
"63"	"4"	"石柱"	"CN101042500"
"64"	"4"	"大足"	"CN101042600"
"65"	"4"	"荣昌"	"CN101042700"
"66"	"4"	"铜梁"	"CN101042800"
"67"	"4"	"璧山"	"CN101042900"
"68"	"4"	"丰都"	"CN101043000"
"69"	"4"	"武隆"	"CN101043100"
"70"	"4"	"彭水"	"CN101043200"
"71"	"4"	"綦江"	"CN101043300"
"72"	"4"	"酉阳"	"CN101043400"
"73"	"4"	"秀山"	"CN101043600"
"74"	"5"	"香港"	"CN101320101"
"75"	"5"	"九龙"	"CN101320102"
"76"	"5"	"新界"	"CN101320103"
"77"	"6"	"澳门"	"CN101330101"
"78"	"6"	"氹仔岛"	"CN101330102"
"79"	"6"	"路环岛"	"CN101330103"
"80"	"7"	"台北"	"CN101340101"
"81"	"7"	"桃园"	"CN101340102"
"82"	"7"	"新竹"	"CN101340103"
"83"	"7"	"宜兰"	"CN101340104"
"84"	"8"	"高雄"	"CN101340201"
"85"	"8"	"嘉义"	"CN101340202"
"86"	"8"	"台南"	"CN101340203"
"87"	"8"	"台东"	"CN101340204"
"88"	"8"	"屏东"	"CN101340205"
"89"	"9"	"台中"	"CN101340401"
"90"	"9"	"苗栗"	"CN101340402"
"91"	"9"	"彰化"	"CN101340403"
"92"	"9"	"南投"	"CN101340404"
"93"	"9"	"花莲"	"CN101340405"
"94"	"9"	"云林"	"CN101340406"
"95"	"10"	"哈尔滨"	"CN101050101"
"96"	"10"	"双城"	"CN101050102"
"97"	"10"	"呼兰"	"CN101050103"
"98"	"10"	"阿城"	"CN101050104"
"99"	"10"	"宾县"	"CN101050105"
"100"	"10"	"依兰"	"CN101050106"
"101"	"10"	"巴彦"	"CN101050107"
"102"	"10"	"通河"	"CN101050108"
"103"	"10"	"方正"	"CN101050109"
"104"	"10"	"延寿"	"CN101050110"
"105"	"10"	"尚志"	"CN101050111"
"106"	"10"	"五常"	"CN101050112"
"107"	"10"	"木兰"	"CN101050113"
"108"	"11"	"齐齐哈尔"	"CN101050201"
"109"	"11"	"讷河"	"CN101050202"
"110"	"11"	"龙江"	"CN101050203"
"111"	"11"	"甘南"	"CN101050204"
"112"	"11"	"富裕"	"CN101050205"
"113"	"11"	"依安"	"CN101050206"
"114"	"11"	"拜泉"	"CN101050207"
"115"	"11"	"克山"	"CN101050208"
"116"	"11"	"克东"	"CN101050209"
"117"	"11"	"泰来"	"CN101050210"
"118"	"12"	"牡丹江"	"CN101050301"
"119"	"12"	"海林"	"CN101050302"
"120"	"12"	"穆棱"	"CN101050303"
"121"	"12"	"林口"	"CN101050304"
"122"	"12"	"绥芬河"	"CN101050305"
"123"	"12"	"宁安"	"CN101050306"
"124"	"12"	"东宁"	"CN101050307"
"125"	"13"	"佳木斯"	"CN101050401"
"126"	"13"	"汤原"	"CN101050402"
"127"	"13"	"抚远"	"CN101050403"
"128"	"13"	"桦川"	"CN101050404"
"129"	"13"	"桦南"	"CN101050405"
"130"	"13"	"同江"	"CN101050406"
"131"	"13"	"富锦"	"CN101050407"
"132"	"14"	"绥化"	"CN101050501"
"133"	"14"	"肇东"	"CN101050502"
"134"	"14"	"安达"	"CN101050503"
"135"	"14"	"海伦"	"CN101050504"
"136"	"14"	"明水"	"CN101050505"
"137"	"14"	"望奎"	"CN101050506"
"138"	"14"	"兰西"	"CN101050507"
"139"	"14"	"青冈"	"CN101050508"
"140"	"14"	"庆安"	"CN101050509"
"141"	"14"	"绥棱"	"CN101050510"
"142"	"15"	"黑河"	"CN101050601"
"143"	"15"	"嫩江"	"CN101050602"
"144"	"15"	"孙吴"	"CN101050603"
"145"	"15"	"逊克"	"CN101050604"
"146"	"15"	"五大连池"	"CN101050605"
"147"	"15"	"北安"	"CN101050606"
"148"	"16"	"大兴安岭"	"CN101050701"
"149"	"16"	"塔河"	"CN101050702"
"150"	"16"	"漠河"	"CN101050703"
"151"	"16"	"呼玛"	"CN101050704"
"152"	"16"	"呼中"	"CN101050705"
"153"	"16"	"新林"	"CN101050706"
"154"	"16"	"加格达奇"	"CN101050708"
"155"	"17"	"伊春"	"CN101050801"
"156"	"17"	"乌伊岭"	"CN101050802"
"157"	"17"	"五营"	"CN101050803"
"158"	"17"	"铁力"	"CN101050804"
"159"	"17"	"嘉荫"	"CN101050805"
"160"	"18"	"大庆"	"CN101050901"
"161"	"18"	"林甸"	"CN101050902"
"162"	"18"	"肇州"	"CN101050903"
"163"	"18"	"肇源"	"CN101050904"
"164"	"18"	"杜尔伯特"	"CN101050905"
"165"	"19"	"鸡西"	"CN101051101"
"166"	"19"	"虎林"	"CN101051102"
"167"	"19"	"密山"	"CN101051103"
"168"	"19"	"鸡东"	"CN101051104"
"169"	"20"	"鹤岗"	"CN101051201"
"170"	"20"	"绥滨"	"CN101051202"
"171"	"20"	"萝北"	"CN101051203"
"172"	"21"	"双鸭山"	"CN101051301"
"173"	"21"	"集贤"	"CN101051302"
"174"	"21"	"宝清"	"CN101051303"
"175"	"21"	"饶河"	"CN101051304"
"176"	"21"	"友谊"	"CN101051305"
"177"	"22"	"长春"	"CN101060101"
"178"	"22"	"农安"	"CN101060102"
"179"	"22"	"德惠"	"CN101060103"
"180"	"22"	"九台"	"CN101060104"
"181"	"22"	"榆树"	"CN101060105"
"182"	"22"	"双阳"	"CN101060106"
"183"	"23"	"吉林"	"CN101060201"
"184"	"23"	"舒兰"	"CN101060202"
"185"	"23"	"永吉"	"CN101060203"
"186"	"23"	"蛟河"	"CN101060204"
"187"	"23"	"磐石"	"CN101060205"
"188"	"23"	"桦甸"	"CN101060206"
"189"	"24"	"延吉"	"CN101060301"
"190"	"24"	"敦化"	"CN101060302"
"191"	"24"	"安图"	"CN101060303"
"192"	"24"	"汪清"	"CN101060304"
"193"	"24"	"和龙"	"CN101060305"
"194"	"24"	"龙井"	"CN101060307"
"195"	"24"	"珲春"	"CN101060308"
"196"	"24"	"图们"	"CN101060309"
"197"	"25"	"四平"	"CN101060401"
"198"	"25"	"双辽"	"CN101060402"
"199"	"25"	"梨树"	"CN101060403"
"200"	"25"	"公主岭"	"CN101060404"
"201"	"25"	"伊通"	"CN101060405"
"202"	"26"	"通化"	"CN101060501"
"203"	"26"	"梅河"	"CN101060502"
"204"	"26"	"柳河"	"CN101060503"
"205"	"26"	"辉南"	"CN101060504"
"206"	"26"	"集安"	"CN101060505"
"207"	"26"	"通化县"	"CN101060506"
"208"	"27"	"白城"	"CN101060601"
"209"	"27"	"洮南"	"CN101060602"
"210"	"27"	"大安"	"CN101060603"
"211"	"27"	"镇赉"	"CN101060604"
"212"	"27"	"通榆"	"CN101060605"
"213"	"28"	"辽源"	"CN101060701"
"214"	"28"	"东丰"	"CN101060702"
"215"	"28"	"东辽"	"CN101060703"
"216"	"29"	"松原"	"CN101060801"
"217"	"29"	"乾安"	"CN101060802"
"218"	"29"	"前郭"	"CN101060803"
"219"	"29"	"长岭"	"CN101060804"
"220"	"29"	"扶余"	"CN101060805"
"221"	"30"	"白山"	"CN101060901"
"222"	"30"	"靖宇"	"CN101060902"
"223"	"30"	"临江"	"CN101060903"
"224"	"30"	"东岗"	"CN101060904"
"225"	"30"	"长白"	"CN101060905"
"226"	"30"	"抚松"	"CN101060906"
"227"	"30"	"江源"	"CN101060907"
"228"	"31"	"沈阳"	"CN101070101"
"229"	"31"	"辽中"	"CN101070103"
"230"	"31"	"康平"	"CN101070104"
"231"	"31"	"法库"	"CN101070105"
"232"	"31"	"新民"	"CN101070106"
"233"	"32"	"大连"	"CN101070201"
"234"	"32"	"瓦房店"	"CN101070202"
"235"	"32"	"金州"	"CN101070203"
"236"	"32"	"普兰店"	"CN101070204"
"237"	"32"	"旅顺"	"CN101070205"
"238"	"32"	"长海"	"CN101070206"
"239"	"32"	"庄河"	"CN101070207"
"240"	"33"	"鞍山"	"CN101070301"
"241"	"33"	"台安"	"CN101070302"
"242"	"33"	"岫岩"	"CN101070303"
"243"	"33"	"海城"	"CN101070304"
"244"	"34"	"抚顺"	"CN101070401"
"245"	"34"	"新宾"	"CN101070402"
"246"	"34"	"清原"	"CN101070403"
"247"	"34"	"章党"	"CN101070404"
"248"	"35"	"本溪"	"CN101070501"
"249"	"35"	"本溪县"	"CN101070502"
"250"	"35"	"桓仁"	"CN101070504"
"251"	"37"	"锦州"	"CN101070701"
"252"	"37"	"凌海"	"CN101070702"
"253"	"37"	"义县"	"CN101070704"
"254"	"37"	"黑山"	"CN101070705"
"255"	"37"	"北镇"	"CN101070706"
"256"	"36"	"丹东"	"CN101070601"
"257"	"36"	"凤城"	"CN101070602"
"258"	"36"	"宽甸"	"CN101070603"
"259"	"36"	"东港"	"CN101070604"
"260"	"38"	"营口"	"CN101070801"
"261"	"38"	"大石桥"	"CN101070802"
"262"	"38"	"盖州"	"CN101070803"
"263"	"39"	"阜新"	"CN101070901"
"264"	"39"	"彰武"	"CN101070902"
"265"	"40"	"辽阳"	"CN101071001"
"266"	"40"	"辽阳县"	"CN101071002"
"267"	"40"	"灯塔"	"CN101071003"
"268"	"40"	"弓长岭"	"CN101071004"
"269"	"41"	"铁岭"	"CN101071101"
"270"	"41"	"开原"	"CN101071102"
"271"	"41"	"昌图"	"CN101071103"
"272"	"41"	"西丰"	"CN101071104"
"273"	"41"	"调兵山"	"CN101071105"
"274"	"42"	"朝阳"	"CN101071201"
"275"	"42"	"凌源"	"CN101071203"
"276"	"42"	"喀左"	"CN101071204"
"277"	"42"	"北票"	"CN101071205"
"278"	"42"	"建平县"	"CN101071207"
"279"	"43"	"盘锦"	"CN101071301"
"280"	"43"	"大洼"	"CN101071302"
"281"	"43"	"盘山"	"CN101071303"
"282"	"44"	"葫芦岛"	"CN101071401"
"283"	"44"	"建昌"	"CN101071402"
"284"	"44"	"绥中"	"CN101071403"
"285"	"44"	"兴城"	"CN101071404"
"286"	"45"	"呼和浩特"	"CN101080101"
"287"	"45"	"土左旗"	"CN101080102"
"288"	"45"	"托县"	"CN101080103"
"289"	"45"	"和林"	"CN101080104"
"290"	"45"	"清水河"	"CN101080105"
"291"	"45"	"呼市郊区"	"CN101080106"
"292"	"45"	"武川"	"CN101080107"
"293"	"46"	"包头"	"CN101080201"
"294"	"46"	"白云鄂博"	"CN101080202"
"295"	"46"	"满都拉 "	"CN101080203"
"296"	"46"	"土右旗"	"CN101080204"
"297"	"46"	"固阳"	"CN101080205"
"298"	"46"	"达茂旗"	"CN101080206"
"299"	"46"	"希拉穆仁"	"CN101080207"
"300"	"47"	"乌海"	"CN101080301"
"301"	"48"	"集宁"	"CN101080401"
"302"	"48"	"卓资"	"CN101080402"
"303"	"48"	"化德"	"CN101080403"
"304"	"48"	"商都"	"CN101080404"
"305"	"48"	"兴和"	"CN101080406"
"306"	"48"	"凉城"	"CN101080407"
"307"	"48"	"察右前旗"	"CN101080408"
"308"	"48"	"察右中旗"	"CN101080409"
"309"	"48"	"察右后旗"	"CN101080410"
"310"	"48"	"四子王旗"	"CN101080411"
"311"	"48"	"丰镇"	"CN101080412"
"312"	"49"	"通辽"	"CN101080501"
"313"	"49"	"舍伯吐"	"CN101080502"
"314"	"49"	"科左中旗"	"CN101080503"
"315"	"49"	"科左后旗"	"CN101080504"
"316"	"49"	"青龙山"	"CN101080505"
"317"	"49"	"开鲁"	"CN101080506"
"318"	"49"	"库伦"	"CN101080507"
"319"	"49"	"奈曼"	"CN101080508"
"320"	"49"	"扎鲁特"	"CN101080509"
"321"	"49"	"巴雅尔吐胡硕"	"CN101080510"
"322"	"49"	"霍林郭勒"	"CN101080511"
"323"	"50"	"赤峰"	"CN101080601"
"324"	"50"	"阿鲁旗"	"CN101080603"
"325"	"50"	"浩尔吐"	"CN101080604"
"326"	"50"	"巴林左旗"	"CN101080605"
"327"	"50"	"巴林右旗"	"CN101080606"
"328"	"50"	"林西"	"CN101080607"
"329"	"50"	"克什克腾"	"CN101080608"
"330"	"50"	"翁牛特"	"CN101080609"
"331"	"50"	"岗子"	"CN101080610"
"332"	"50"	"喀喇沁"	"CN101080611"
"333"	"50"	"八里罕"	"CN101080612"
"334"	"50"	"宁城"	"CN101080613"
"335"	"50"	"敖汉"	"CN101080614"
"336"	"50"	"宝国吐"	"CN101080615"
"337"	"51"	"鄂尔多斯"	"CN101080701"
"338"	"51"	"达拉特"	"CN101080703"
"339"	"51"	"准格尔"	"CN101080704"
"340"	"51"	"鄂前旗"	"CN101080705"
"341"	"51"	"河南"	"CN101080706"
"342"	"51"	"伊克乌素"	"CN101080707"
"343"	"51"	"鄂托克"	"CN101080708"
"344"	"51"	"杭锦旗"	"CN101080709"
"345"	"51"	"乌审旗"	"CN101080710"
"346"	"51"	"伊金霍洛"	"CN101080711"
"347"	"51"	"乌审召"	"CN101080712"
"348"	"51"	"东胜"	"CN101080713"
"349"	"52"	"临河"	"CN101080801"
"350"	"52"	"五原"	"CN101080802"
"351"	"52"	"磴口"	"CN101080803"
"352"	"52"	"乌前旗"	"CN101080804"
"353"	"52"	"大佘太"	"CN101080805"
"354"	"52"	"乌中旗"	"CN101080806"
"355"	"52"	"乌后旗"	"CN101080807"
"356"	"52"	"海力素"	"CN101080808"
"357"	"52"	"那仁宝力格"	"CN101080809"
"358"	"52"	"杭锦后旗"	"CN101080810"
"359"	"53"	"锡林浩特"	"CN101080901"
"360"	"53"	"二连浩特"	"CN101080903"
"361"	"53"	"阿巴嘎"	"CN101080904"
"362"	"53"	"苏左旗"	"CN101080906"
"363"	"53"	"苏右旗"	"CN101080907"
"364"	"53"	"朱日和"	"CN101080908"
"365"	"53"	"东乌旗"	"CN101080909"
"366"	"53"	"西乌旗"	"CN101080910"
"367"	"53"	"太仆寺"	"CN101080911"
"368"	"53"	"镶黄旗"	"CN101080912"
"369"	"53"	"正镶白旗"	"CN101080913"
"370"	"53"	"正蓝旗"	"CN101080914"
"371"	"53"	"多伦"	"CN101080915"
"372"	"53"	"博克图"	"CN101080916"
"373"	"53"	"乌拉盖"	"CN101080917"
"374"	"54"	"海拉尔"	"CN101081001"
"375"	"54"	"小二沟"	"CN101081002"
"376"	"54"	"阿荣旗"	"CN101081003"
"377"	"54"	"莫力达瓦"	"CN101081004"
"378"	"54"	"鄂伦春旗"	"CN101081005"
"379"	"54"	"鄂温克旗"	"CN101081006"
"380"	"54"	"陈旗"	"CN101081007"
"381"	"54"	"新左旗"	"CN101081008"
"382"	"54"	"新右旗"	"CN101081009"
"383"	"54"	"满洲里"	"CN101081010"
"384"	"54"	"牙克石"	"CN101081011"
"385"	"54"	"扎兰屯"	"CN101081012"
"386"	"54"	"额尔古纳"	"CN101081014"
"387"	"54"	"根河"	"CN101081015"
"388"	"54"	"图里河"	"CN101081016"
"389"	"55"	"乌兰浩特"	"CN101081101"
"390"	"55"	"高力板"	"CN101081102"
"391"	"55"	"阿尔山"	"CN101081103"
"392"	"55"	"科右中旗"	"CN101081104"
"393"	"55"	"胡尔勒"	"CN101081105"
"394"	"55"	"扎赉特"	"CN101081106"
"395"	"55"	"索伦"	"CN101081107"
"396"	"55"	"突泉"	"CN101081108"
"397"	"55"	"科右前旗"	"CN101081109"
"398"	"56"	"阿左旗"	"CN101081201"
"399"	"56"	"阿右旗"	"CN101081202"
"400"	"56"	"额济纳"	"CN101081203"
"401"	"56"	"拐子湖"	"CN101081204"
"402"	"56"	"吉兰太"	"CN101081205"
"403"	"56"	"锡林高勒"	"CN101081206"
"404"	"56"	"头道湖"	"CN101081207"
"405"	"56"	"中泉子"	"CN101081208"
"406"	"56"	"诺尔公"	"CN101081209"
"407"	"56"	"雅布赖"	"CN101081210"
"408"	"56"	"乌斯泰"	"CN101081211"
"409"	"56"	"孪井滩"	"CN101081212"
"410"	"57"	"石家庄"	"CN101090101"
"411"	"57"	"井陉"	"CN101090102"
"412"	"57"	"正定"	"CN101090103"
"413"	"57"	"栾城"	"CN101090104"
"414"	"57"	"行唐"	"CN101090105"
"415"	"57"	"灵寿"	"CN101090106"
"416"	"57"	"高邑"	"CN101090107"
"417"	"57"	"深泽"	"CN101090108"
"418"	"57"	"赞皇"	"CN101090109"
"419"	"57"	"无极"	"CN101090110"
"420"	"57"	"平山"	"CN101090111"
"421"	"57"	"元氏"	"CN101090112"
"422"	"57"	"赵县"	"CN101090113"
"423"	"57"	"辛集"	"CN101090114"
"424"	"57"	"藁城"	"CN101090115"
"425"	"57"	"晋州"	"CN101090116"
"426"	"57"	"新乐"	"CN101090117"
"427"	"57"	"鹿泉"	"CN101090118"
"428"	"58"	"保定"	"CN101090201"
"429"	"58"	"满城"	"CN101090202"
"430"	"58"	"阜平"	"CN101090203"
"431"	"58"	"徐水"	"CN101090204"
"432"	"58"	"唐县"	"CN101090205"
"433"	"58"	"高阳"	"CN101090206"
"434"	"58"	"容城"	"CN101090207"
"435"	"58"	"涞源"	"CN101090209"
"436"	"58"	"望都"	"CN101090210"
"437"	"58"	"安新"	"CN101090211"
"438"	"58"	"易县"	"CN101090212"
"439"	"58"	"曲阳"	"CN101090214"
"440"	"58"	"蠡县"	"CN101090215"
"441"	"58"	"顺平"	"CN101090216"
"442"	"58"	"雄县"	"CN101090217"
"443"	"58"	"涿州"	"CN101090218"
"444"	"58"	"定州"	"CN101090219"
